Epoch	Train_loss	Validation_loss	Best_validation_loss 	learning_rate	Computing_time
1	0.013684372965760768	0.003025701999279157	0.003025701999279157	0.0025	4120
2	0.0026191929905857525	0.0027877673204546516	0.0027877673204546516	0.0025	3745
3	0.0022568697042686728	0.0025385401319662354	0.0025385401319662354	0.0025	3591
4	0.0020771320161154785	0.002452710148645565	0.002452710148645565	0.0025	3641
5	0.0019401248844890375	0.003228962359809595	0.002452710148645565	0.0025	3647
6	0.0017851309543274777	0.0024427412424990517	0.0024427412424990517	0.00125	3650
7	0.001743300246624348	0.002433988514911736	0.002433988514911736	0.00125	3692
8	0.0017088588244604018	0.0023572439259564437	0.0023572439259564437	0.00125	3494
9	0.001681478232917561	0.0023953748945659244	0.0023572439259564437	0.00125	3546
10	0.0016606115083592319	0.002322513006968102	0.002322513006968102	0.00125	3568
11	0.0016093494725838188	0.002017967658885537	0.002017967658885537	0.000625	3593
12	0.0016004047400101067	0.001993461138167349	0.001993461138167349	0.000625	3545
13	0.0015920174796033488	0.001973136696310618	0.001973136696310618	0.000625	3568
14	0.0015842749337821398	0.00199130757493685	0.001973136696310618	0.000625	3570
15	0.0015772247068972553	0.001998273859431023	0.001973136696310618	0.000625	3622
16	0.0015517648800600801	0.002006337629243836	0.001973136696310618	0.0003125	3605
17	0.0015479833876256592	0.0020015553443308563	0.001973136696310618	0.0003125	3649
18	0.0015443173518264988	0.0019943822986091637	0.001973136696310618	0.0003125	3652
19	0.001540987980474376	0.001987780528711525	0.001973136696310618	0.0003125	3734
20	0.0015377206069800962	0.0019823722817410637	0.001973136696310618	0.0003125	3689
21	0.001524230473388506	0.0019244465287573522	0.0019244465287573522	0.00015625	3752
22	0.0015223539666730597	0.0019225208763991675	0.0019225208763991675	0.00015625	3730
23	0.0015205928960935512	0.0019173904746541293	0.0019173904746541293	0.00015625	3769
24	0.0015188384904349977	0.00190736771638924	0.00190736771638924	0.00015625	2398
25	0.0015162080352672854	0.0019067885097592298	0.0019067885097592298	0.00015625	2013
26	0.001521636784423654	0.0018848129649313705	0.0018848129649313705	7.8125e-05	4970
27	0.001519318206199244	0.0018825103182962266	0.0018825103182962266	7.8125e-05	4494
28	0.001517422536790928	0.0018806663925943212	0.0018806663925943212	7.8125e-05	4469
29	0.0015157206461356278	0.0018829147925316647	0.0018806663925943212	7.8125e-05	4502
30	0.0015140819609537263	0.0018803772817364006	0.0018803772817364006	7.8125e-05	4469
